COVID-19 Vaccinations in the United States
Date generated: Sat Jan 30 2021 23:56:57 GMT-0700 (Mountain Standard Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,193150,115268,26403,15757,91794,12548,23320,3188
Alabama,659400,342436,13448,6984,288368,5881,53742,1096
Arkansas,453700,288651,15034,9565,233935,7752,52118,1727
American Samoa,18450,9925,33130,17822,8926,16028,997,1790
Arizona,1013375,557369,13922,7658,469916,6456,86990,1195
Bureau of Prisons,30050,30945,N/A,N/A,22486,0,8389,0
California,5666150,3095781,14340,7835,2563559,6488,524350,1327
Colorado,813400,545356,14125,9470,423054,7346,118770,2062
Connecticut,578600,421191,16229,11814,340886,9561,73706,2067
District of Columbia,148525,76672,21045,10864,59570,8441,17029,2413
Dept of Defense,816175,449958,N/A,N/A,381304,0,59440,0
Delaware,143775,92509,14765,9500,76980,7905,14956,1536
Florida,3396350,1890198,15813,8801,1610425,7498,274211,1277
Federated States of Micronesia,19400,3965,18718,3826,3933,3795,5,5
Georgia,1449800,856746,13655,8069,729117,6867,109311,1030
Guam,34300,22454,20692,13545,17784,10728,4499,2714
Hawaii,227400,120502,16061,8511,96743,6833,23758,1678
Iowa,417900,237874,13245,7539,182537,5786,52324,1658
Idaho,221550,114729,12397,6420,93632,5239,20148,1127
Indian Health Svc,423600,194962,N/A,N/A,155066,0,37890,0
Illinois,1696575,948804,13389,7488,733006,5785,197643,1560
Indiana,931500,607185,13836,9019,495746,7364,111233,1652
Kansas,413350,206520,14188,7089,168343,5778,36738,1261
Kentucky,650150,386001,14552,8640,324581,7265,59367,1329
Louisiana,648925,420908,13959,9054,355024,7637,65136,1401
Massachusetts,1060900,547082,15392,7937,438852,6367,106799,1549
Maryland,884650,475780,14633,7870,398387,6590,76905,1272
Maine,212125,132067,15781,9825,99468,7400,31055,2310
Marshall Islands,13600,3992,23282,6834,3723,6374,234,401
Michigan,1362600,922423,13644,9236,734903,7359,175117,1753
Minnesota,837550,485850,14851,8615,376632,6678,107528,1907
Missouri,835400,408441,13612,6655,313161,5102,92389,1505
Northern Mariana Islands,18650,9733,32787,17111,6671,11728,3058,5376
Mississippi,425000,222487,14280,7476,199419,6701,22816,767
Montana,141650,99272,13253,9288,75432,7058,23785,2225
North Carolina,1423475,898736,13572,8569,762635,7271,135263,1290
North Dakota,108050,91585,14179,12018,66885,8777,22968,3014
Nebraska,288375,167276,14908,8647,125263,6476,41093,2124
New Hampshire,217100,123740,15967,9100,96148,7071,27544,2026
New Jersey,1232525,768944,13876,8657,649035,7307,117791,1326
New Mexico,317900,248321,15161,11843,195327,9315,50153,2392
Nevada,368800,224192,11973,7279,191175,6207,31783,1032
New York State,2932775,1791935,15076,9211,1417373,7286,303102,1558
Ohio,1553900,911004,13294,7794,759337,6496,150948,1291
Oklahoma,594925,410305,15035,10369,339382,8577,68510,1731
Oregon,665325,382392,15774,9066,314964,7468,66188,1569
Pennsylvania,1976925,1032426,15442,8065,819889,6404,209964,1640
Puerto Rico,530950,236060,16625,7391,183630,5750,51159,1602
Rhode Island,173225,88094,16352,8316,65668,6199,22401,2115
Republic of Palau,6000,3110,33506,17368,3109,17362,1,6
South Carolina,560150,407860,10879,7922,339544,6595,66286,1287
South Dakota,130700,102847,14774,11626,74229,8391,28547,3227
Tennessee,998875,574142,14627,8407,416716,6102,155936,2283
Texas,3659550,2340658,12621,8072,1886813,6507,452040,1559
Utah,401375,286501,12520,8937,227616,7100,45874,1431
Virginia,1232350,785920,14438,9208,648378,7596,110877,1299
Veterans Health,1367700,888305,N/A,N/A,721252,0,166191,0
Virgin Islands,17075,5967,16312,5700,4898,4679,1069,1021
Vermont,99750,63777,15986,10221,48473,7768,15213,2438
Washington,1031400,643951,13545,8456,524466,6887,108221,1421
Wisconsin,795050,450251,13655,7733,375931,6457,71976,1236
West Virginia,305200,256401,17030,14307,191225,10670,65165,3636
Wyoming,85750,49166,14816,8495,41441,7160,7674,1326
